model,sample,session,horizon,direction_cosine,execution_cosine,norm_ratio,full_mse,execution_mse,decoded_mse,endpoint_correct,reencoded_correct,continuity
D2_Wave24,108,25,2,0.3737080693244934,0.5426313281059265,0.8110941052436829,1.018438458442688,0.8578641414642334,0.06310924142599106,1,1,0.21426022052764893
D2_Wave24,108,25,4,0.6722916960716248,0.7232972979545593,0.6987925171852112,1.4008489847183228,1.2785396575927734,0.03920525684952736,0,0,0.11774176359176636
D2_Wave24,116,25,1,0.3753323256969452,0.3023282587528229,0.8444385528564453,0.5617859363555908,0.5356543064117432,0.055860597640275955,1,1,0.5048633813858032
D2_Wave24,116,25,2,0.1478453129529953,0.4592169523239136,0.8990985155105591,1.2655748128890991,0.8542816638946533,0.04217633977532387,1,1,0.050957053899765015
D2_Wave24,116,25,4,0.8333859443664551,0.825511634349823,0.7379698753356934,0.7425518035888672,0.9404785633087158,0.08627575635910034,0,0,0.49430596828460693
D2_Wave24,128,29,1,0.7263219952583313,0.7726850509643555,0.8037254214286804,0.4902234673500061,0.47456371784210205,0.06160717085003853,1,0,0.5863142609596252
D2_Wave24,128,29,2,0.6690459251403809,0.7352842092514038,1.0382044315338135,0.7977189421653748,0.8372164964675903,0.05574032664299011,0,1,0.14514708518981934
D2_Wave24,128,29,4,0.9522575736045837,0.9443191289901733,0.7810316681861877,0.2737732231616974,0.23881922662258148,0.013578142039477825,0,0,0.11975938081741333
M6_K2_mode_residual,35,10,1,0.9188860654830933,0.9252281188964844,0.8097858428955078,0.43805772066116333,0.6014678478240967,0.024941638112068176,1,1,0.042785853147506714
M6_K2_mode_residual,35,10,2,0.8108212947845459,0.9344342350959778,0.7417118549346924,1.0464202165603638,0.6881060004234314,0.03301934897899628,1,1,0.08434237539768219
M6_K2_mode_residual,35,10,4,0.7340816259384155,0.7478457689285278,0.6430650353431702,1.6275012493133545,1.0773991346359253,0.0771351233124733,0,0,0.4243737459182739
M6_K2_mode_residual,38,10,1,0.89105623960495,0.9329114556312561,0.938424289226532,0.3797922134399414,0.42319631576538086,0.034545283764600754,0,0,0.2944185733795166
M6_K2_mode_residual,38,10,2,0.8292737603187561,0.8732349276542664,0.839652955532074,0.7035644054412842,0.7813605070114136,0.04055391997098923,1,1,0.15641570091247559
M6_K2_mode_residual,38,10,4,0.927651047706604,0.9631602168083191,0.8501551151275635,0.3289026618003845,0.253846675157547,0.01981969363987446,1,1,0.052357017993927
M6_K2_mode_residual,102,21,1,0.725749135017395,0.8242380619049072,0.8176155090332031,1.391681432723999,1.3033255338668823,0.143778994679451,0,0,0.862139105796814
M6_K2_mode_residual,102,21,2,0.8786266446113586,0.940234363079071,0.9776287078857422,0.4642060101032257,0.35769781470298767,0.05748248100280762,1,0,0.31804925203323364
M6_K2_mode_residual,102,21,4,0.8595460653305054,0.8963466882705688,0.7757285833358765,0.7653825283050537,0.4998630881309509,0.03745407238602638,0,0,0.24886703491210938
M6_K2_mode_residual,108,25,1,0.4860251843929291,0.436202734708786,0.9615517854690552,0.6937316656112671,0.9366456270217896,0.04795409366488457,1,1,0.3341549038887024
M6_K2_mode_residual,108,25,2,0.36429256200790405,0.6630078554153442,1.4226962327957153,1.9247453212738037,1.4981931447982788,0.046603959053754807,1,0,0.2245081067085266
M6_K2_mode_residual,108,25,4,0.6339518427848816,0.6359485983848572,0.9091231822967529,1.7202134132385254,2.076486110687256,0.03826947510242462,0,0,0.05371689796447754
M6_K2_mode_residual,116,25,1,0.346861332654953,0.47714322805404663,1.1646873950958252,0.8061079978942871,0.6934577822685242,0.026125073432922363,1,1,0.35785457491874695
M6_K2_mode_residual,116,25,2,0.30432650446891785,0.4600274860858917,1.2177008390426636,1.4289402961730957,0.9826005697250366,0.050408344715833664,1,1,0.31119418144226074
M6_K2_mode_residual,116,25,4,0.8092872500419617,0.8094514012336731,0.9701881408691406,0.8756165504455566,1.0350650548934937,0.050230931490659714,0,0,0.32817238569259644
M6_K2_mode_residual,128,29,1,0.6683074235916138,0.6623653173446655,0.7689329981803894,0.5773597955703735,0.6909186840057373,0.0677911713719368,0,0,0.6491093635559082
M6_K2_mode_residual,128,29,2,0.5322908163070679,0.7157494425773621,1.1998459100723267,1.3463704586029053,0.9788282513618469,0.051408082246780396,1,1,0.006347596645355225
M6_K2_mode_residual,128,29,4,0.8856510519981384,0.8395999073982239,0.8409416675567627,0.4862632155418396,0.641594409942627,0.030185580253601074,0,0,0.283825159072876
Latent_CFM_8step_mean8,35,10,1,0.9388214945793152,0.9655038714408875,0.7587001919746399,0.3949360251426697,0.38730648159980774,0.030659044161438942,0,0,0.17327885329723358
Latent_CFM_8step_mean8,35,10,2,0.859898567199707,0.8800670504570007,0.797191321849823,0.7968593835830688,0.872017502784729,0.02548425830900669,0,0,0.14525353908538818
Latent_CFM_8step_mean8,35,10,4,0.8590314388275146,0.8079874515533447,0.5689963102340698,1.2002713680267334,0.9009325504302979,0.08686667680740356,0,0,0.2094278335571289
Latent_CFM_8step_mean8,38,10,1,0.8332470655441284,0.867817759513855,0.8345181941986084,0.5574827790260315,0.816339910030365,0.06741403788328171,0,0,0.11843575537204742
Latent_CFM_8step_mean8,38,10,2,0.6561071872711182,0.7571595907211304,0.9192242622375488,1.438496708869934,1.4016412496566772,0.09543337672948837,1,1,0.07324093580245972
Latent_CFM_8step_mean8,38,10,4,0.8613583445549011,0.893844723701477,0.7925088405609131,0.5941901206970215,0.6745518445968628,0.02351132594048977,0,0,0.030077368021011353
Latent_CFM_8step_mean8,102,21,1,0.582172691822052,0.7537088394165039,0.7446433305740356,1.9860628843307495,1.758420705795288,0.1650616079568863,0,0,0.6867640018463135
Latent_CFM_8step_mean8,102,21,2,0.8077908158302307,0.8789185881614685,0.99393630027771,0.7458869218826294,0.6940815448760986,0.06578785181045532,1,0,0.2986404299736023
Latent_CFM_8step_mean8,102,21,4,0.863599956035614,0.8992894291877747,0.6834614872932434,0.8180018663406372,0.4867219030857086,0.035729631781578064,0,0,0.10284620523452759
Latent_CFM_8step_mean8,108,25,1,0.7195290923118591,0.6625581979751587,1.066136121749878,0.4221756160259247,0.45958197116851807,0.044422294944524765,1,1,0.38571733236312866
Latent_CFM_8step_mean8,108,25,2,0.6209002733230591,0.7152388691902161,1.0953996181488037,0.813117504119873,0.7694110870361328,0.024053269997239113,1,1,0.08664044737815857
Latent_CFM_8step_mean8,108,25,4,0.7498206496238708,0.7146360278129578,0.5896517038345337,1.1830778121948242,1.2896473407745361,0.045843612402677536,0,1,0.27977389097213745
Latent_CFM_8step_mean8,116,25,1,0.424248605966568,0.5932378172874451,1.435438632965088,0.9591495990753174,0.9720710515975952,0.02854744903743267,0,1,0.46269676089286804
Latent_CFM_8step_mean8,116,25,2,0.473646879196167,0.6276777386665344,1.4102168083190918,1.3560700416564941,1.3942294120788574,0.06980961561203003,0,1,0.31842029094696045
Latent_CFM_8step_mean8,116,25,4,0.8673198223114014,0.868523359298706,0.7681909799575806,0.6080278158187866,0.7424547672271729,0.048634763807058334,0,0,0.40207815170288086
Latent_CFM_8step_mean8,128,29,1,0.793219804763794,0.8492486476898193,0.9200937747955322,0.39642205834388733,0.3269217610359192,0.044727664440870285,1,1,0.4127705693244934
Latent_CFM_8step_mean8,128,29,2,0.7051321864128113,0.834749698638916,1.080204725265503,0.7453747391700745,0.6519961357116699,0.02835087478160858,0,1,0.12732866406440735
Latent_CFM_8step_mean8,128,29,4,0.9035780429840088,0.9172273278236389,0.8055651783943176,0.43159088492393494,0.3370625376701355,0.025851862505078316,0,0,0.03887024521827698
Phase_flow,35,10,1,0.8738483786582947,0.9423637986183167,0.8817294836044312,0.6181943416595459,0.4217977225780487,0.048923294991254807,0,0,0.09968642890453339
Phase_flow,35,10,2,0.8973137140274048,0.9179514050483704,0.8746918439865112,0.5884856581687927,0.6180320382118225,0.039032090455293655,0,0,0.1623474359512329
Phase_flow,35,10,4,0.8491744995117188,0.8161701560020447,0.7008508443832397,1.0432698726654053,0.8075655698776245,0.06023306027054787,0,0,0.3478004038333893
Phase_flow,38,10,1,0.8852843642234802,0.9123750329017639,0.8427512049674988,0.3976966142654419,0.5812088847160339,0.0543387345969677,1,0,0.14626885950565338
Phase_flow,38,10,2,0.6944223046302795,0.7773041725158691,0.9462122321128845,1.308828592300415,1.3345668315887451,0.07855989784002304,1,1,0.029470860958099365
Phase_flow,38,10,4,0.9196327328681946,0.9600916504859924,0.9261524081230164,0.3489103317260742,0.24158522486686707,0.01586191914975643,1,0,0.052682459354400635
Phase_flow,102,21,1,0.7075609564781189,0.8158610463142395,0.7298609614372253,1.444049596786499,1.3775768280029297,0.11077830940485,0,0,0.617371678352356
Phase_flow,102,21,2,0.7623217701911926,0.8444857001304626,0.9909011721611023,0.9195908904075623,0.9126051068305969,0.07080525159835815,0,0,0.37335437536239624
Phase_flow,102,21,4,0.8377960920333862,0.8685600757598877,0.6874158978462219,0.9152189493179321,0.6131027340888977,0.03649301826953888,0,0,0.11426782608032227
Phase_flow,108,25,1,0.7362636923789978,0.628498911857605,1.1540634632110596,0.4432404339313507,0.5940279960632324,0.05015970394015312,1,1,0.3602825403213501
Phase_flow,108,25,2,0.7111412286758423,0.7429054975509644,1.1338341236114502,0.6516963243484497,0.8283604979515076,0.02346671186387539,0,0,0.03737044334411621
Phase_flow,108,25,4,0.6561395525932312,0.7366208434104919,0.716968297958374,1.4632799625396729,1.2438595294952393,0.0631241574883461,0,0,0.0578838586807251
Phase_flow,116,25,1,0.222510427236557,0.6620362401008606,1.550073504447937,1.4122462272644043,0.5764271020889282,0.018711650744080544,0,0,0.4166782796382904
