model,family,data_regime,physical,H2_full,H4_decoded,H4_endpoint,H4_recode,H4_continuity,RedirectGain,Execution_RedirectGain,pareto,selected
Core_LN50_PH0_Phys-F2C,factorial_core,LN50,PH0,1.098339557647705,0.04974765703082085,0.4858722976370035,0.40944779621250205,0.2153693288564682,0.4602828323841095,0.255298912525177,True,False
Core_LN50_PH0_RAT-C,factorial_core,LN50,PH0,1.1726497411727905,0.050735484808683395,0.5029411764705882,0.4751633986928105,0.21195536851882935,0.8405503630638123,0.5758494734764099,True,False
Core_LN50_PH0_TC-CFM,factorial_core,LN50,PH0,1.1727218627929688,0.0507759265601635,0.48404139433551197,0.3586182336182336,0.1858581006526947,0.3557155132293701,0.17759601771831512,True,False
Core_NEW-only_PH0_Phys-F2C,factorial_core,NEW-only,PH0,1.1558253765106201,0.054620638489723206,0.43451064186358307,0.39916205798558746,0.21097435057163239,0.5043362379074097,0.2864174544811249,True,False
Core_NEW-only_PH0_RAT-C,factorial_core,NEW-only,PH0,1.1669143438339233,0.05700596421957016,0.5249455337690633,0.5066448801742919,0.20042885839939117,0.9042669534683228,0.6315643191337585,True,False
Core_NEW-only_PH0_TC-CFM,factorial_core,NEW-only,PH0,1.2477898597717285,0.05722278356552124,0.3655228758169935,0.3621040723981901,0.18394945561885834,0.4072478711605072,0.2113983929157257,True,False
Core_NEW-only_PH1_Phys-F2C,factorial_core,NEW-only,PH1,1.1410216093063354,0.053595613688230515,0.4149027987263281,0.39396681749622925,0.19016943871974945,0.46040019392967224,0.22645507752895355,False,False
Core_NEW-only_PH1_Prior-CFM,factorial_core,NEW-only,PH1,1.2501529455184937,0.056303419172763824,0.4117228087816323,0.3684891905480141,0.19219961762428284,0.36241093277931213,0.14701132476329803,False,False
Core_NEW-only_PH1_RAT-C,factorial_core,NEW-only,PH1,1.1731595993041992,0.0560559444129467,0.5158496732026144,0.48458605664488014,0.2066328078508377,0.8875632286071777,0.5968748331069946,False,False
Core_NEW-only_PH1_RIF,factorial_core,NEW-only,PH1,1.6979862451553345,0.07636097818613052,0.5197712418300654,0.3905019272666332,0.23796969652175903,1.0145878791809082,0.6997764706611633,True,False
Core_NEW-only_PH1_TC-CFM,factorial_core,NEW-only,PH1,1.2500377893447876,0.05784720927476883,0.41751717781129544,0.3324744427685604,0.1889609843492508,0.403904527425766,0.21688711643218994,True,False
Flow_PH1_Hetero-CFM,flow_family,NEW-only,PH1,1.2501529455184937,0.056303419172763824,0.4117228087816323,0.3684891905480141,0.19219961762428284,0.36241093277931213,0.14701132476329803,False,False
Flow_PH1_MultiCandidate-CFM,flow_family,NEW-only,PH1,1.8990157842636108,0.08105497062206268,0.4608722976370036,0.39543740573152336,0.23461341857910156,1.030523419380188,0.6984052658081055,True,False
Flow_PH1_Prior-CFM,flow_family,NEW-only,PH1,1.2501529455184937,0.056303419172763824,0.4117228087816323,0.3684891905480141,0.19219961762428284,0.36241093277931213,0.14701132476329803,False,False
Flow_PH1_RIF-A_random,flow_family,NEW-only,PH1,1.178220272064209,0.057966671884059906,0.46915116473940005,0.451395173453997,0.19486653804779053,0.42421603202819824,0.23642197251319885,True,True
Flow_PH1_RIF-B_condition,flow_family,NEW-only,PH1,1.1875691413879395,0.057649627327919006,0.4369616222557399,0.43048014077425845,0.21456657350063324,0.4757787883281708,0.2948191165924072,False,False
Flow_PH1_RIF-C_initialize,flow_family,NEW-only,PH1,1.6791844367980957,0.07628744840621948,0.4868191721132898,0.4182797050444109,0.23936882615089417,1.0132567882537842,0.7079355120658875,True,False
Flow_PH1_RIF-D_causal_select,flow_family,NEW-only,PH1,1.7207729816436768,0.07949233800172806,0.4706971677559913,0.3341628959276018,0.2536744773387909,0.9814542531967163,0.6884776949882507,False,False
Flow_PH1_Streaming-CFM,flow_family,NEW-only,PH1,1.2674074172973633,0.06525421887636185,0.3269188872130048,0.2748743086978381,0.2166212499141693,0.23960337042808533,0.12114840745925903,False,False
Flow_PH1_Temporal-CFM,flow_family,NEW-only,PH1,1.179427981376648,0.05808054283261299,0.46915116473940005,0.451395173453997,0.19483307003974915,0.42282530665397644,0.23761792480945587,True,False
Objective_PH1_combined,objective,NEW-only,PH1,1.1410216093063354,0.053595613688230515,0.4149027987263281,0.39396681749622925,0.19016943871974945,0.46040019392967224,0.22645507752895355,False,False
Objective_PH1_contrastive,objective,NEW-only,PH1,1.1514698266983032,0.054262518882751465,0.40232109937992294,0.3476705211999329,0.19711869955062866,0.39461183547973633,0.16448582708835602,False,False
Objective_PH1_decoded,objective,NEW-only,PH1,1.1431927680969238,0.05372321605682373,0.4149027987263281,0.40678733031674214,0.19182813167572021,0.45042887330055237,0.2207551896572113,True,False
Objective_PH1_latent,objective,NEW-only,PH1,1.1525650024414062,0.054410506039857864,0.40232109937992294,0.3476705211999329,0.19686464965343475,0.3833971619606018,0.15708988904953003,False,False
Physical_PH0_F2-C,physical_state,NEW-only,PH0,1.1699858903884888,0.05574725568294525,0.35695072900955255,0.34004524886877824,0.2003902792930603,0.4287205934524536,0.22590483725070953,True,False
Physical_PH0_Prior-CFM,physical_state,NEW-only,PH0,1.2661365270614624,0.05790899693965912,0.403389475448299,0.38084045584045584,0.1923384666442871,0.48012393712997437,0.24621805548667908,False,False
Physical_PH0_RIF-C,physical_state,NEW-only,PH0,1.7003148794174194,0.0757623240351677,0.49221132897603487,0.36248533601474775,0.24641567468643188,1.0144658088684082,0.6934722661972046,True,False
Physical_PH1_F2-C,physical_state,NEW-only,PH1,1.1525650024414062,0.054410506039857864,0.40232109937992294,0.3476705211999329,0.19686464965343475,0.3833971619606018,0.15708988904953003,False,False
Physical_PH1_Prior-CFM,physical_state,NEW-only,PH1,1.2501529455184937,0.056303419172763824,0.4117228087816323,0.3684891905480141,0.19219961762428284,0.36241093277931213,0.14701132476329803,False,False
Physical_PH1_RIF-C,physical_state,NEW-only,PH1,1.6912238597869873,0.07558798789978027,0.5053376906318083,0.42808362661303834,0.23923338949680328,1.023733139038086,0.707980751991272,True,False
Physical_PH2_F2-C,physical_state,NEW-only,PH2,1.1418273448944092,0.05609583109617233,0.3868191721132897,0.3466021451315569,0.20624606311321259,0.3453393280506134,0.18631452322006226,False,False
Physical_PH2_Prior-CFM,physical_state,NEW-only,PH2,1.2692378759384155,0.057630643248558044,0.4167337020278197,0.28907742584213175,0.20992222428321838,0.3919626772403717,0.17218324542045593,True,False
Physical_PH2_RIF-C,physical_state,NEW-only,PH2,1.7000986337661743,0.07479628175497055,0.5031045751633988,0.41141695994637173,0.23807373642921448,0.9736013412475586,0.6626732349395752,True,False
Physical_PH3_F2-C,physical_state,NEW-only,PH3,1.1176605224609375,0.05549326539039612,0.4125272331154684,0.34056896262778613,0.21309465169906616,0.3650972247123718,0.18065465986728668,False,False
Physical_PH3_Prior-CFM,physical_state,NEW-only,PH3,1.266640305519104,0.055992674082517624,0.4271577006871124,0.3361571979219038,0.20443479716777802,0.378534734249115,0.17125459015369415,False,False
Physical_PH3_RIF-C,physical_state,NEW-only,PH3,1.7010629177093506,0.07454866170883179,0.48921568627450984,0.41141695994637173,0.2383345663547516,0.9682931900024414,0.6514987945556641,True,False
Physical_PH4_F2-C,physical_state,NEW-only,PH4,1.170574426651001,0.05595392361283302,0.4089659795542149,0.27228925758337524,0.1896294802427292,0.323822557926178,0.11547456681728363,True,False
Physical_PH4_Prior-CFM,physical_state,NEW-only,PH4,1.269915223121643,0.06445378065109253,0.2614420982068041,0.26778112954583544,0.20367437601089478,0.2582862675189972,0.0559626929461956,False,False
Physical_PH4_RIF-C,physical_state,NEW-only,PH4,1.6623159646987915,0.07391619682312012,0.5429193899782135,0.4088025808614044,0.2600157558917999,1.023702621459961,0.7214206457138062,True,False
Physical_PH5_F2-C,physical_state,NEW-only,PH5,1.343055248260498,0.06528188288211823,0.3209820680408915,0.23451483157365507,0.21289996802806854,0.17801499366760254,0.05719342827796936,False,False
Physical_PH5_Prior-CFM,physical_state,NEW-only,PH5,1.4746161699295044,0.07012440264225006,0.22362158538629126,0.2701776437070555,0.215487539768219,0.16377629339694977,0.043682683259248734,False,False
Physical_PH5_RIF-C,physical_state,NEW-only,PH5,1.7009239196777344,0.07206715643405914,0.5251633986928105,0.3346866096866097,0.2387976199388504,1.008156180381775,0.6906113028526306,True,False
Scale_L0_F2-C,data_scale,L0,PH0,1.3435100317001343,0.061668381094932556,0.34185520361990945,0.26118233618233616,0.2158387303352356,0.21532174944877625,0.12127680331468582,False,False
Scale_L0_Prior-CFM,data_scale,L0,PH0,1.4877347946166992,0.06296782195568085,0.2977920227920228,0.2402128372716608,0.22133933007717133,0.17068272829055786,0.12399366497993469,False,False
Scale_L0_RIF-C,data_scale,L0,PH0,1.847472071647644,0.0840032547712326,0.34648483324953916,0.31232193732193736,0.2409612089395523,0.6598149538040161,0.4909648299217224,False,False
Scale_LN100_F2-C,data_scale,LN100,PH0,1.0336624383926392,0.0485667809844017,0.4340204457851517,0.3493589743589744,0.21228179335594177,0.47496163845062256,0.242820605635643,True,False
Scale_LN100_Prior-CFM,data_scale,LN100,PH0,1.0763800144195557,0.04752490669488907,0.45147058823529407,0.440359477124183,0.19833870232105255,0.5131410956382751,0.3269199728965759,True,True
Scale_LN100_RIF-C,data_scale,LN100,PH0,1.5494811534881592,0.07274949550628662,0.4029411764705882,0.35731104407574993,0.22769421339035034,0.8721676468849182,0.6631149053573608,True,False
Scale_LN25_F2-C,data_scale,LN25,PH0,1.1930484771728516,0.05304640904068947,0.42554466230936816,0.3468660968660969,0.20758409798145294,0.3382708430290222,0.1641225665807724,False,False
Scale_LN25_Prior-CFM,data_scale,LN25,PH0,1.2378991842269897,0.05343053489923477,0.4080945198592258,0.41431623931623934,0.2127063125371933,0.30185043811798096,0.19749362766742706,False,False
Scale_LN25_RIF-C,data_scale,LN25,PH0,1.7459263801574707,0.08042822778224945,0.3647184514831574,0.34009971509971515,0.23359443247318268,0.7721312046051025,0.5794892907142639,False,False
Scale_LN50_F2-C,data_scale,LN50,PH0,1.1056147813796997,0.05068322271108627,0.4431372549019608,0.37713675213675213,0.21226413547992706,0.3964230716228485,0.2230439931154251,True,False
Scale_LN50_Prior-CFM,data_scale,LN50,PH0,1.1421209573745728,0.051065199077129364,0.4273965141612201,0.4131514999162058,0.2059861570596695,0.3909035921096802,0.24495521187782288,False,False
Scale_LN50_RIF-C,data_scale,LN50,PH0,1.6598752737045288,0.07688222825527191,0.4238562091503268,0.3493589743589744,0.23400400578975677,0.8112677335739136,0.6125386357307434,False,False
Scale_NEW-only_F2-C,data_scale,NEW-only,PH0,1.1699858903884888,0.05574725568294525,0.35695072900955255,0.34004524886877824,0.2003902792930603,0.4287205934524536,0.22590483725070953,False,False
Scale_NEW-only_Prior-CFM,data_scale,NEW-only,PH0,1.2661365270614624,0.05790899693965912,0.403389475448299,0.38084045584045584,0.1923384666442871,0.48012393712997437,0.24621805548667908,True,False
Scale_NEW-only_RIF-C,data_scale,NEW-only,PH0,1.7046561241149902,0.07637827098369598,0.4505446623093681,0.33748533601474784,0.2440498322248459,1.0140399932861328,0.6845855712890625,False,False
