name,q,alpha,cap,H4_decoded_mse,H4_continuity,H4_true_continuity,RedirectGain,Execution_RedirectGain,H4_endpoint_accuracy,adapter_norm
q8_a0.25_cnone,8,0.25,,1.3338695764541626,2.621936798095703,0.950014591217041,0.0776185542345047,0.029581909999251366,0.1415929203539823,0.5069913864135742
q8_a0.5_c0.05,8,0.5,0.05,1.3502918481826782,2.6404240131378174,0.950014591217041,0.006138197146356106,0.0025350197684019804,0.13274336283185842,0.05000000074505806
q8_a0.5_c0.1,8,0.5,0.1,1.3481628894805908,2.637326955795288,0.950014591217041,0.012120182625949383,0.004989827983081341,0.13274336283185842,0.10000000149011612
q8_a0.5_c0.2,8,0.5,0.2,1.3441128730773926,2.63151216506958,0.950014591217041,0.02361534722149372,0.009658741764724255,0.13274336283185842,0.19996613264083862
q8_a0.5_c0.5,8,0.5,0.5,1.3335939645767212,2.616410255432129,0.950014591217041,0.054350871592760086,0.021740010008215904,0.1504424778761062,0.48684701323509216
q8_a0.5_cnone,8,0.5,,1.322584867477417,2.6058690547943115,0.950014591217041,0.12198042869567871,0.04125178977847099,0.11946902654867257,1.0139827728271484
q8_a0.75_c0.05,8,0.75,0.05,1.3502918481826782,2.6404240131378174,0.950014591217041,0.006138197612017393,0.0025350209325551987,0.13274336283185842,0.05000000074505806
q8_a0.75_c0.1,8,0.75,0.1,1.3481628894805908,2.637326955795288,0.950014591217041,0.012120181694626808,0.0049898275174200535,0.13274336283185842,0.10000000149011612
q8_a0.75_c0.2,8,0.75,0.2,1.3441102504730225,2.6315174102783203,0.950014591217041,0.02361534722149372,0.009658741764724255,0.13274336283185842,0.20000000298023224
q8_a0.75_c0.5,8,0.75,0.5,1.3336377143859863,2.6171329021453857,0.950014591217041,0.054350871592760086,0.021740010008215904,0.1504424778761062,0.49752694368362427
q8_a0.75_cnone,8,0.75,,1.3186883926391602,2.5956027507781982,0.950014591217041,0.13308563828468323,0.035009682178497314,0.09734513274336283,1.5209741592407227
q8_a1.0_c0.05,8,1.0,0.05,1.3502918481826782,2.6404240131378174,0.950014591217041,0.006138197146356106,0.0025350197684019804,0.13274336283185842,0.05000000074505806
q8_a1.0_c0.1,8,1.0,0.1,1.3481628894805908,2.637326955795288,0.950014591217041,0.012120182625949383,0.004989827983081341,0.13274336283185842,0.10000000149011612
q8_a1.0_c0.2,8,1.0,0.2,1.3441102504730225,2.6315174102783203,0.950014591217041,0.02361534722149372,0.009658741764724255,0.13274336283185842,0.20000000298023224
q8_a1.0_c0.5,8,1.0,0.5,1.333625078201294,2.617197275161743,0.950014591217041,0.054350871592760086,0.021740010008215904,0.1504424778761062,0.49960705637931824
q8_a1.0_cnone,8,1.0,,1.3222087621688843,2.5911006927490234,0.950014591217041,0.11093413084745407,0.010855541564524174,0.11504424778761062,2.027965545654297
