sample,session,goal,cycle_residual,global_distance,goal_core_distance,goal_core_margin,execution_goal_core_distance,execution_goal_core_margin,endpoint_correct,decoded_reencoded_correct,decoded_action_mse,continuity,cycle4_residual,cycle4_global_distance,cycle4_goal_core_margin,cycle4_execution_goal_core_margin
54,10,turn_on_lightbulb,4.750827789306641,3.4502692222595215,3.576765537261963,-0.09536218643188477,2.6243903636932373,-0.4810953140258789,0,1,0.014655448496341705,0.2889544665813446,0.21116338670253754,2.8036763668060303,-0.03524971008300781,-0.0700235366821289
55,10,turn_off_lightbulb,1.6427719593048096,3.8378264904022217,4.334334850311279,-0.15296363830566406,2.93217134475708,-0.2606980800628662,0,0,0.1498575508594513,0.5896304249763489,0.6057779788970947,3.749305009841919,-0.1926898956298828,-0.10777688026428223
56,10,place_in_slider,2.2491676807403564,3.515892505645752,5.729496955871582,-1.4947509765625,4.064295768737793,-1.5827114582061768,0,0,0.06098032370209694,0.5327738523483276,0.1394241452217102,2.9256935119628906,-2.3327651023864746,-1.5805792808532715
57,10,lift_red_block_table,2.71154522895813,3.0717339515686035,3.753690242767334,-0.6385509967803955,2.5550103187561035,-0.8273628950119019,0,0,0.059222981333732605,0.8276817798614502,0.13341523706912994,2.094149589538574,-1.1942572593688965,-0.8558822870254517
58,10,place_in_slider,2.9953501224517822,3.7592124938964844,6.125611782073975,-2.126466751098633,4.067931652069092,-1.4790663719177246,0,0,0.038880180567502975,0.6322453618049622,0.4280260503292084,3.085505723953247,-2.9414896965026855,-1.9226133823394775
59,10,lift_red_block_table,4.438708305358887,3.6308434009552,4.174087047576904,-0.49950504302978516,3.1190507411956787,-0.7875156402587891,0,0,0.0568094365298748,0.7453112602233887,0.23129728436470032,3.224311113357544,-1.1066217422485352,-1.1203174591064453
60,10,turn_on_lightbulb,2.6861019134521484,3.174272298812866,3.9431471824645996,-0.725416898727417,2.9182865619659424,-0.9447876214981079,0,0,0.03275879845023155,0.3032815158367157,0.17642447352409363,1.8142141103744507,-1.0539917945861816,-1.1570881605148315
61,10,place_in_slider,3.072782039642334,3.7076938152313232,4.192677974700928,0.05919790267944336,3.067485809326172,-0.5061161518096924,1,0,0.07366174459457397,0.49507832527160645,0.3814399540424347,3.216601610183716,-1.106139898300171,-0.6222743988037109
62,20,turn_off_lightbulb,2.3488051891326904,2.9937071800231934,3.103349208831787,1.0402178764343262,2.173225164413452,0.17276740074157715,1,1,0.01800304837524891,0.4126562774181366,0.2858670949935913,2.5963034629821777,1.7917821407318115,1.1280349493026733
63,20,push_pink_block_right,2.055685043334961,2.9627938270568848,3.1301939487457275,0.1333024501800537,1.7913939952850342,0.4137911796569824,1,1,0.02939762733876705,0.4057345390319824,0.13988415896892548,1.7580680847167969,0.44492030143737793,0.38576698303222656
64,20,lift_red_block_table,3.08156418800354,3.8275954723358154,4.473476409912109,-0.38436412811279297,2.8338308334350586,-1.030472993850708,0,0,0.15514443814754486,0.7269045114517212,0.48267197608947754,3.283900022506714,-0.7110850811004639,-0.5091147422790527
65,20,turn_on_lightbulb,2.600419521331787,3.1090846061706543,3.112189292907715,0.7610495090484619,2.1785902976989746,0.6714818477630615,1,1,0.02247338555753231,0.45554420351982117,0.19162365794181824,1.7643665075302124,1.542030692100525,1.0433628559112549
66,20,turn_off_lightbulb,2.7326619625091553,2.966629981994629,3.392446517944336,-0.4193723201751709,2.8828938007354736,-0.5669934749603271,0,1,0.027853677049279213,0.7599128484725952,0.18196111917495728,2.912508487701416,0.22874140739440918,-0.11265182495117188
67,20,lift_red_block_table,3.507132053375244,3.4899978637695312,3.7137503623962402,-0.04382467269897461,2.7373554706573486,-0.8541815280914307,0,0,0.02522190473973751,0.280629962682724,0.34385377168655396,2.9773521423339844,-1.4557418823242188,-0.8567728996276855
68,20,place_in_slider,2.608872175216675,3.6712863445281982,4.800597190856934,-0.24460840225219727,3.6180267333984375,-1.1690831184387207,0,0,0.021591780707240105,0.6218850016593933,0.20464663207530975,3.0424046516418457,-1.5929999351501465,-1.319922685623169
69,20,push_pink_block_right,3.4912688732147217,4.051932334899902,4.392593860626221,-0.12672758102416992,1.9417530298233032,0.16589057445526123,0,0,0.06959225237369537,0.46848177909851074,0.27723976969718933,3.4351983070373535,-0.8142151832580566,-0.08602023124694824
70,20,turn_off_lightbulb,1.7741581201553345,2.6235673427581787,2.7060818672180176,0.04130744934082031,2.0803446769714355,0.00031757354736328125,1,0,0.010071924887597561,0.3656598925590515,0.1140526533126831,1.636102318763733,-0.5742274522781372,-0.31857264041900635
71,20,push_pink_block_right,3.282710075378418,4.177490234375,4.725185871124268,-0.3013491630554199,2.420440435409546,0.21585464477539062,0,0,0.02906588651239872,0.5021007657051086,0.45556196570396423,3.756319046020508,-1.4110374450683594,-0.1972818374633789
72,20,place_in_slider,2.877218008041382,3.337069272994995,5.173703193664551,-1.3755567073822021,3.6255698204040527,-1.2556419372558594,0,0,0.0785294696688652,0.5696348547935486,0.21879996359348297,2.43272066116333,-2.4059009552001953,-1.390661358833313
73,21,lift_blue_block_slider,2.363860607147217,3.024207830429077,3.0431525707244873,0.7059102058410645,2.347571849822998,-0.3944375514984131,1,1,0.021313929930329323,0.6975420117378235,0.17366495728492737,2.336463451385498,-0.23051691055297852,-0.5233186483383179
