model,family,H2_full_mse,H4_decoded_mse,endpoint_accuracy,decode_reencode_accuracy,continuity,RedirectGain,Execution_RedirectGain,parameters,eligible,pareto_dominated
Latent_Diff_8step_mean8,diffusion,2.198939561843872,0.08148041367530823,0.164056157700512,0.1511164154504249,0.21380046010017395,0.017232375219464302,0.008692052215337753,40224,False,False
M1_K1_frequent,discrete_modes,2.3371708393096924,0.07606777548789978,0.5697461754933019,0.5545675695100982,0.23629258573055267,1.5088114738464355,1.1214263439178467,0,False,False
M1_K2_frequent,discrete_modes,2.5480988025665283,0.07743155211210251,0.5439043189550289,0.5354731512946523,0.2720741331577301,1.6271946430206299,1.3384313583374023,72483,False,False
M1_K3_frequent,discrete_modes,3.098527431488037,0.08580558747053146,0.4892921292515613,0.37638929947922506,0.2627508342266083,0.6697399616241455,0.2901386320590973,72612,False,False
M1_K4_frequent,discrete_modes,2.9249444007873535,0.10272888839244843,0.3468326492329197,0.39325074044479047,0.3009357154369354,0.4352305233478546,0.2489660233259201,72741,False,False
M2_K1_nearest_mode,discrete_modes,2.3371708393096924,0.07606777548789978,0.5697461754933019,0.5545675695100982,0.23629258573055267,1.5088114738464355,1.1214263439178467,0,False,False
M2_K2_nearest_mode,discrete_modes,2.0271379947662354,0.07389400899410248,0.5584035239545719,0.5481285211170269,0.26587945222854614,1.539677619934082,1.2496230602264404,72483,False,False
M2_K3_nearest_mode,discrete_modes,1.9096179008483887,0.0773981362581253,0.5473506597576915,0.5405375595030767,0.2596515119075775,1.5001802444458008,1.2172969579696655,72612,False,False
M2_K4_nearest_mode,discrete_modes,1.9323216676712036,0.07672440260648727,0.50072402117703,0.5146670348157839,0.24992570281028748,1.3824958801269531,1.1495130062103271,72741,False,False
M3_K1_knn_vote,discrete_modes,2.3371708393096924,0.07606777548789978,0.5697461754933019,0.5545675695100982,0.23629258573055267,1.5088114738464355,1.1214263439178467,0,False,False
M3_K2_knn_vote,discrete_modes,2.0423781871795654,0.07157742977142334,0.6055968585042284,0.5856714379702885,0.25544336438179016,1.6835001707077026,1.3195422887802124,72483,False,False
M3_K3_knn_vote,discrete_modes,2.1776816844940186,0.07444176077842712,0.5976941571938191,0.5430329568260602,0.2604900598526001,1.7180794477462769,1.2219470739364624,72612,False,False
M3_K4_knn_vote,discrete_modes,2.0838189125061035,0.08325190097093582,0.534062639336473,0.520590641922623,0.2499016970396042,1.5419241189956665,1.1941642761230469,72741,False,False
M4_K2_logistic,discrete_modes,3.2211318016052246,0.08186258375644684,0.5927862123602489,0.5501335190990364,0.2547990083694458,1.6472830772399902,1.2379703521728516,72483,False,False
M4_K3_logistic,discrete_modes,2.8124401569366455,0.09728392958641052,0.4938049642241664,0.44653746323793647,0.2843155860900879,0.9562575817108154,0.6416226625442505,72612,False,False
M4_K4_logistic,discrete_modes,2.9684793949127197,0.09577184170484543,0.45904287408682265,0.549993837079706,0.27903279662132263,1.1310988664627075,0.9085721373558044,72741,False,False
M5_K2_mlp,discrete_modes,2.3221213817596436,0.07682343572378159,0.6124898978516288,0.5719380449265506,0.2455543726682663,1.843753695487976,1.3930058479309082,72483,False,False
M5_K3_mlp,discrete_modes,2.288045883178711,0.0771641880273819,0.5576266219944381,0.47549322062506655,0.24832677841186523,1.4982813596725464,1.0997929573059082,72612,False,False
M5_K4_mlp,discrete_modes,2.323634147644043,0.0859346017241478,0.4936230198569617,0.49907037469579735,0.2609209716320038,1.3535027503967285,1.1053998470306396,72741,False,False
M6_K2_mode_residual,discrete_modes,1.0979037284851074,0.05085020139813423,0.48959347816683857,0.4697146128856744,0.21683737635612488,0.7708184123039246,0.47328394651412964,72483,False,False
M6_K3_mode_residual,discrete_modes,1.2082102298736572,0.05317828804254532,0.44995856696329994,0.40768111261688,0.19261913001537323,0.7284175753593445,0.5018942952156067,72612,False,False
M6_K4_mode_residual,discrete_modes,1.2357381582260132,0.060935068875551224,0.461590046444678,0.37384872908875605,0.20987561345100403,0.7205054759979248,0.48645320534706116,72741,False,False
MDN_K2_argmax,MDN,1.1382728815078735,0.0625869482755661,0.33890064559435756,0.2847098110113661,0.23006513714790344,0.27467480301856995,0.1442655622959137,40902,False,False
