sample,session,goal,horizon,mean_source_distance,mean_neighbor_displacement_cosine,D2_cosine
58,10,place_in_slider,1,3.829663038253784,0.42247384786605835,0.7807816863059998
59,10,lift_red_block_table,1,4.57366418838501,-0.0845847874879837,-0.23193852603435516
60,10,turn_on_lightbulb,1,4.339343547821045,0.10223455727100372,0.4792027175426483
61,10,place_in_slider,1,4.163318634033203,0.6327412724494934,0.8588564991950989
62,20,turn_off_lightbulb,1,3.9723639488220215,0.16043926775455475,0.430220365524292
63,20,push_pink_block_right,1,5.68890905380249,-0.10210055112838745,0.08339330554008484
64,20,lift_red_block_table,1,4.636343479156494,0.11107995361089706,0.3514630198478699
65,20,turn_on_lightbulb,1,4.933037757873535,0.512809693813324,0.8886754512786865
66,20,turn_off_lightbulb,1,5.535839080810547,0.2425120621919632,0.5476282835006714
67,20,lift_red_block_table,1,4.282834053039551,-0.059829335659742355,-0.21295976638793945
68,20,place_in_slider,1,3.9125781059265137,0.6959159970283508,0.8461529016494751
69,20,push_pink_block_right,1,4.472760200500488,0.35502374172210693,0.9136140942573547
70,20,turn_off_lightbulb,1,3.5829849243164062,0.2435108870267868,0.47462135553359985
71,20,push_pink_block_right,1,5.138917446136475,0.054538775235414505,0.30779510736465454
72,20,place_in_slider,1,3.7778446674346924,0.7598161697387695,0.9314723014831543
73,21,lift_blue_block_slider,1,4.639946460723877,0.257077693939209,0.7370084524154663
74,21,lift_red_block_table,1,4.034428596496582,0.35489940643310547,0.8411312699317932
75,21,place_in_slider,1,3.3883328437805176,0.5088445544242859,0.8657190203666687
76,21,turn_on_lightbulb,1,2.7417283058166504,0.5019208788871765,0.8453183174133301
77,21,turn_off_lightbulb,1,4.054813385009766,0.3953261077404022,0.786445140838623
78,21,turn_on_lightbulb,1,3.9268085956573486,0.26899006962776184,0.6959508657455444
79,21,push_pink_block_right,1,5.353358745574951,0.33091357350349426,0.6729585528373718
80,21,place_in_slider,1,3.0548622608184814,0.48079919815063477,0.7900753617286682
81,21,turn_on_lightbulb,1,3.6667213439941406,0.31481969356536865,0.6135378479957581
82,21,lift_blue_block_slider,1,4.311428546905518,0.27479287981987,0.6092758178710938
83,21,turn_off_lightbulb,1,4.508633613586426,0.29782506823539734,0.5643974542617798
84,21,push_pink_block_right,1,5.4371771812438965,0.1922094076871872,0.4973589777946472
85,21,turn_off_lightbulb,1,4.094329833984375,0.36841171979904175,0.8575441241264343
86,21,push_pink_block_right,1,5.278273582458496,-0.32884514331817627,-0.5219573378562927
87,21,place_in_slider,1,4.4325056076049805,0.6786540746688843,0.8628172874450684
88,21,lift_red_block_table,1,4.300070762634277,0.0640963688492775,0.2739174962043762
89,21,place_in_slider,1,3.5121188163757324,0.7820168137550354,0.956058919429779
90,21,turn_off_lightbulb,1,3.5814807415008545,0.4042634963989258,0.8584423065185547
91,21,place_in_slider,1,3.871875762939453,0.39642569422721863,0.6886749863624573
92,21,turn_on_lightbulb,1,4.619962692260742,0.1598740518093109,0.5705212354660034
93,21,lift_blue_block_slider,1,4.714603900909424,-0.012490433640778065,0.023242594674229622
94,21,push_pink_block_right,1,5.045737266540527,0.1993986964225769,0.4822574853897095
95,21,turn_on_lightbulb,1,2.9295856952667236,0.4456241726875305,0.70706707239151
96,21,lift_blue_block_slider,1,4.075942039489746,0.19870774447917938,0.373853474855423
97,21,lift_red_block_table,1,4.645026206970215,0.0613994374871254,0.3333050310611725
98,21,place_in_slider,1,4.7974395751953125,0.5250835418701172,0.8413547873497009
99,21,turn_on_lightbulb,1,3.654850721359253,0.38088056445121765,0.6579666137695312
100,21,lift_red_block_table,1,4.251870155334473,0.10990029573440552,0.4048590660095215
101,21,lift_blue_block_slider,1,3.9176058769226074,0.27452632784843445,0.5723880529403687
102,21,place_in_slider,1,4.452220439910889,0.594025731086731,0.801611065864563
103,21,turn_on_lightbulb,1,4.584624767303467,0.034032683819532394,0.17780452966690063
104,21,place_in_slider,1,3.9395687580108643,0.7422114014625549,0.9552582502365112
105,21,turn_off_lightbulb,1,4.746855735778809,0.37012773752212524,0.7723537087440491
106,21,place_in_slider,1,2.845829486846924,0.536948561668396,0.884658932685852
107,25,lift_blue_block_slider,1,5.122994422912598,-0.051955051720142365,-0.09949517250061035
108,25,place_in_slider,1,3.2790229320526123,0.29459115862846375,0.5166407227516174
109,25,turn_on_lightbulb,1,4.197613716125488,0.20559871196746826,0.5788647532463074
110,25,turn_off_lightbulb,1,3.84100604057312,0.3651030957698822,0.8352044224739075
111,25,lift_red_block_table,1,6.302628517150879,0.06721945106983185,0.23182451725006104
112,25,turn_on_lightbulb,1,3.2333426475524902,0.4403053820133209,0.7700863480567932
113,25,lift_blue_block_slider,1,4.755268096923828,-0.01047030184417963,0.013672856613993645
114,25,turn_off_lightbulb,1,3.541735887527466,0.3162568509578705,0.7489680051803589
115,25,lift_blue_block_slider,1,4.926383018493652,-0.05619560927152634,-0.09739658236503601
