sample,session,goal,horizon,HorizonCoreGain,D2_full_cosine,D2_execution_cosine,D2_full_mse,goal_mean_full_mse,D2_execution_mse,goal_mean_execution_mse
97,21,lift_red_block_table,1,-1.433670997619629,0.3333050310611725,0.4002336263656616,0.9618960618972778,1.2197076082229614,1.2045726776123047,1.6456217765808105
98,21,place_in_slider,1,-0.1091928482055664,0.8413547873497009,0.8583099842071533,0.6295448541641235,1.7407512664794922,0.973989725112915,2.9346935749053955
99,21,turn_on_lightbulb,1,0.06441831588745117,0.6579666137695312,0.5229849219322205,1.8152310848236084,2.3437225818634033,2.5918638706207275,2.539384365081787
100,21,lift_red_block_table,1,-1.6698133945465088,0.4048590660095215,0.2620690166950226,0.7484520077705383,0.9829443693161011,0.932574450969696,1.2628065347671509
101,21,lift_blue_block_slider,1,-1.3623719215393066,0.5723880529403687,0.5333648324012756,1.3002347946166992,1.5776023864746094,1.603445053100586,1.911912202835083
102,21,place_in_slider,1,-0.4406161308288574,0.801611065864563,0.9353002905845642,1.1017316579818726,2.0060501098632812,0.7766055464744568,2.1011528968811035
103,21,turn_on_lightbulb,1,-0.8673572540283203,0.17780452966690063,-0.24634726345539093,0.8940504193305969,0.9964398145675659,0.8287701606750488,0.87701416015625
104,21,place_in_slider,1,-0.1661825180053711,0.9552582502365112,0.9702392816543579,0.32702356576919556,1.8405956029891968,0.39443063735961914,3.0615620613098145
105,21,turn_off_lightbulb,1,-0.5180783271789551,0.7723537087440491,0.8185589909553528,0.6688313484191895,1.3723371028900146,0.8082895278930664,1.8954743146896362
106,21,place_in_slider,1,-0.45133304595947266,0.884658932685852,0.9125587940216064,0.10908360779285431,0.7226123809814453,0.12709903717041016,1.2308332920074463
107,25,lift_blue_block_slider,1,-3.6711502075195312,-0.09949517250061035,0.14755629003047943,1.7841095924377441,2.059704065322876,0.671038031578064,0.8180839419364929
108,25,place_in_slider,1,-0.4495978355407715,0.5166407227516174,0.5502785444259644,0.5513591170310974,0.7743842005729675,0.503808856010437,0.9612933397293091
109,25,turn_on_lightbulb,1,-1.402226448059082,0.5788647532463074,0.34406477212905884,1.2104707956314087,2.023611307144165,1.0498567819595337,1.3250577449798584
110,25,turn_off_lightbulb,1,-0.06139659881591797,0.8352044224739075,0.8419296741485596,0.48723822832107544,1.0361294746398926,0.5669474601745605,1.1330257654190063
111,25,lift_red_block_table,1,-0.8487296104431152,0.23182451725006104,0.49556925892829895,2.6197171211242676,2.721449613571167,1.9950671195983887,2.344986915588379
112,25,turn_on_lightbulb,1,-0.10124588012695312,0.7700863480567932,0.8503410816192627,0.481581449508667,0.7587260603904724,0.4241711497306824,0.8783504366874695
113,25,lift_blue_block_slider,1,-1.8446907997131348,0.013672856613993645,0.48796573281288147,1.8231720924377441,1.8515942096710205,0.9969221353530884,1.2139394283294678
114,25,turn_off_lightbulb,1,-0.801055908203125,0.7489680051803589,0.6847046613693237,0.6008449792861938,1.0043131113052368,0.7373139262199402,1.1158454418182373
115,25,lift_blue_block_slider,1,-3.5130646228790283,-0.09739658236503601,-0.029242563992738724,0.768511176109314,0.918882429599762,1.0202624797821045,1.1820324659347534
116,25,place_in_slider,1,-0.6302371025085449,0.3753323256969452,0.3023282587528229,0.5617859959602356,1.0312495231628418,0.5356543064117432,0.9967248439788818
117,25,turn_on_lightbulb,1,-0.36052751541137695,0.5210581421852112,0.7302396297454834,1.4195027351379395,1.7345712184906006,1.3223333358764648,1.7361719608306885
118,25,turn_off_lightbulb,1,-0.8681988716125488,0.7550225853919983,0.41810035705566406,0.6335538625717163,1.1681267023086548,0.9214010834693909,1.2825937271118164
119,25,lift_red_block_table,1,-2.294231653213501,0.2537309527397156,0.6306062340736389,1.5488927364349365,2.050715923309326,1.1540753841400146,2.002171516418457
120,25,lift_blue_block_slider,1,-1.3143320083618164,0.21540318429470062,0.16969600319862366,1.0804345607757568,1.0833356380462646,1.526782512664795,1.5970485210418701
121,25,turn_on_lightbulb,1,-0.8155384063720703,0.6993623375892639,0.7949200868606567,1.0904695987701416,1.693314552307129,1.3496438264846802,2.1477699279785156
122,29,turn_off_lightbulb,1,-0.32035112380981445,0.6521894931793213,0.6079724431037903,0.8792785406112671,1.2413917779922485,1.2211909294128418,1.6994456052780151
123,29,place_in_slider,1,-0.31407666206359863,0.9497644901275635,0.9541139006614685,0.2105301469564438,0.8215892314910889,0.30084797739982605,1.4214262962341309
124,29,turn_on_lightbulb,1,-0.8249444961547852,0.38964197039604187,0.7279551029205322,1.245186686515808,0.9322587251663208,0.7432408928871155,0.7405662536621094
125,29,lift_red_block_table,1,-1.7581353187561035,0.43509745597839355,0.5654582381248474,1.0277191400527954,1.3058865070343018,0.6615272164344788,1.0620779991149902
126,29,place_in_slider,1,-0.4340043067932129,0.6399173140525818,0.45390018820762634,0.36196020245552063,0.9025928974151611,0.36193063855171204,0.9127932190895081
127,29,lift_blue_block_slider,1,0.07261228561401367,0.8514147996902466,0.7634052634239197,1.2578558921813965,2.554943323135376,0.6689572334289551,1.2971816062927246
128,29,place_in_slider,1,-0.5311527252197266,0.7263219952583313,0.7726850509643555,0.4902234673500061,0.7412689924240112,0.47456371784210205,0.9484571218490601
129,29,push_pink_block_right,1,-1.85585355758667,-0.27652275562286377,-0.23276802897453308,1.651447057723999,1.3352762460708618,2.5781116485595703,1.9536981582641602
