model,q_dim,encoding,field,subspace,composition,group,backbone,H2_full_mse,H4_decoded_mse,H4_endpoint_accuracy,H4_recode_accuracy,H4_continuity,RedirectGain,Execution_RedirectGain,adapter_norm,effective_q_rank,pareto,selected
,8,E0_linear,FF3_attractor,C0_random,COMP0_additive,D,F1,1.2554817199707031,1.3523242473602295,0.12831858407079647,0.168141592920354,2.6427788734436035,0.017156008630990982,0.009096703492105007,0.16106760501861572,2.1375625133514404,False,False
,8,E0_linear,FF4_state_conditioned,C0_random,COMP0_additive,D,F1,1.2404851913452148,1.3606159687042236,0.1504424778761062,0.061946902654867256,2.6505749225616455,0.017679736018180847,-0.007567038759589195,0.6092462539672852,2.166574239730835,False,False
,8,E0_linear,FF1_direct,C1_pca,COMP0_additive,D,F1,1.2539851665496826,1.3468914031982422,0.13274336283185842,0.18584070796460178,2.6386988162994385,0.02249068208038807,0.01874464377760887,0.24313025176525116,2.943790912628174,False,False
,8,E0_linear,FF3_attractor,C1_pca,COMP0_additive,D,F1,1.2532275915145874,1.3467918634414673,0.13274336283185842,0.1902654867256637,2.6422059535980225,0.023274283856153488,0.01804421842098236,0.13690264523029327,3.4434399604797363,False,False
,8,E0_linear,FF4_state_conditioned,C1_pca,COMP0_additive,D,F1,1.1638740301132202,1.3222087621688843,0.11504424778761062,0.07079646017699115,2.5911006927490234,0.11093413084745407,0.010855541564524174,2.027965545654297,2.87218976020813,True,True
,8,E0_linear,FF1_direct,C2_learned,COMP0_additive,D,F1,1.2599425315856934,1.3565127849578857,0.13274336283185842,0.10176991150442478,2.636090040206909,0.03968684375286102,0.034863654524087906,0.3512426018714905,2.8602638244628906,False,False
,8,E0_linear,FF3_attractor,C2_learned,COMP0_additive,D,F1,1.253280758857727,1.3489681482315063,0.12831858407079647,0.16371681415929204,2.6454319953918457,0.04237508773803711,0.027565935626626015,0.2067241370677948,2.6326904296875,False,False
,8,E0_linear,FF4_state_conditioned,C2_learned,COMP0_additive,D,F1,1.2273536920547485,1.3847256898880005,0.11946902654867257,0.13716814159292035,2.6543397903442383,-0.016505464911460876,-0.07485681027173996,0.7264032363891602,2.0523171424865723,False,False
,2,E0_linear,FF5_nonlinear,C2_learned,COMP0_additive,D,F1,1.251632809638977,1.3499071598052979,0.14601769911504425,0.18141592920353983,2.626230239868164,0.017203476279973984,0.026275333017110825,0.669736921787262,1.211739182472229,False,True
,2,E0_linear,FF7_gated,C2_learned,COMP0_additive,D,F1,1.2558096647262573,1.3523365259170532,0.12831858407079647,0.1902654867256637,2.6436023712158203,0.0161694698035717,0.012284385040402412,0.10155022144317627,1.671136736869812,False,False
,2,E0_linear,FF8_velocity,C2_learned,COMP0_additive,D,F1,1.2570933103561401,1.3538293838500977,0.13274336283185842,0.1902654867256637,2.6451854705810547,0.010287354700267315,0.019725307822227478,0.4240858256816864,1.8830937147140503,False,False
,2,E0_linear,FF9_retrieval,C2_learned,COMP0_additive,D,F1,1.2561107873916626,1.3489044904708862,0.13274336283185842,0.1902654867256637,2.643249034881592,0.00968354195356369,0.006797110196202993,0.07242000848054886,1.618827223777771,False,False
,2,E0_linear,FF3_attractor,C3_block_separable,COMP0_additive,D,F1,1.2569243907928467,1.3508049249649048,0.13274336283185842,0.19469026548672566,2.645362615585327,0.0016366270137950778,0.0,0.0560227669775486,1.7329449653625488,False,True
,2,E0_linear,FF3_attractor,C4_execution_only,COMP0_additive,D,F1,1.2568329572677612,1.3520748615264893,0.13274336283185842,0.1902654867256637,2.6439433097839355,0.0004873369471170008,0.0009746854775585234,0.04592520743608475,1.8615639209747314,False,False
,2,E0_linear,FF3_attractor,C5_semantic_only,COMP0_additive,D,F1,1.2564939260482788,1.3520874977111816,0.13716814159292035,0.1902654867256637,2.6445672512054443,0.004462491255253553,0.0,0.04288485273718834,1.4932290315628052,False,False
,2,E0_linear,FF3_attractor,C6_state_dependent,COMP0_additive,D,F1,1.257780909538269,1.3524483442306519,0.13274336283185842,0.18584070796460178,2.6449413299560547,0.017277566716074944,0.011502720415592194,0.12141722440719604,1.27177894115448,False,False
,2,E0_linear,FF3_attractor,C2_learned,COMP1_gated_additive,D,F1,1.2570271492004395,1.3514831066131592,0.13274336283185842,0.1902654867256637,2.6438345909118652,0.005808049812912941,0.0032708311919122934,0.029434850439429283,1.5947953462600708,False,False
,2,E0_linear,FF3_attractor,C2_learned,COMP2_normalized,D,F1,1.2573295831680298,1.3523184061050415,0.13274336283185842,0.1902654867256637,2.643657684326172,0.000816325715277344,0.0009163023205474019,0.006455633789300919,1.4521821737289429,False,False
