sample,session,goal,horizon,target_distance,margin,region_rank,semantic_rank,semantic_top1,semantic_cosine_margin
4,0,push_pink_block_right,4,3.964890241622925,-0.04051399230957031,2,4,0,-0.15340730547904968
5,0,lift_blue_block_slider,0,3.554631471633911,-0.5526623725891113,5,2,0,-0.03732641041278839
5,0,lift_blue_block_slider,1,4.565882682800293,-0.6357100009918213,5,2,0,-0.05593977868556976
5,0,lift_blue_block_slider,2,3.0233922004699707,0.443828821182251,1,1,1,0.04893173277378082
5,0,lift_blue_block_slider,4,3.061476230621338,0.5550806522369385,1,1,1,0.1528736650943756
6,0,place_in_slider,0,4.315985202789307,-1.0480117797851562,5,6,0,-0.700053334236145
6,0,place_in_slider,1,3.0299763679504395,0.1713106632232666,1,2,0,-0.06238970160484314
6,0,place_in_slider,2,4.292389869689941,-0.47600603103637695,5,2,0,-0.06120455265045166
6,0,place_in_slider,4,4.650930881500244,-0.8707916736602783,6,6,0,-0.2590600848197937
7,0,lift_red_block_table,0,3.6585307121276855,0.4131159782409668,1,1,1,0.22421294450759888
7,0,lift_red_block_table,1,3.788217067718506,0.20425915718078613,1,1,1,0.20061498880386353
7,0,lift_red_block_table,2,3.602534532546997,-0.06974649429321289,2,1,1,0.12058150768280029
7,0,lift_red_block_table,4,3.862126111984253,-0.2702369689941406,2,1,1,0.08006496727466583
8,0,lift_blue_block_slider,0,4.526098728179932,-2.6664066314697266,4,6,0,-0.3894730806350708
8,0,lift_blue_block_slider,1,4.799095153808594,-0.7059621810913086,4,5,0,-0.08772477507591248
8,0,lift_blue_block_slider,2,3.643664836883545,0.01923990249633789,1,3,0,-0.07203918695449829
8,0,lift_blue_block_slider,4,3.7015833854675293,0.12312054634094238,1,1,1,0.21259063482284546
9,0,turn_on_lightbulb,0,5.218865871429443,0.21089506149291992,1,2,0,-0.017576873302459717
9,0,turn_on_lightbulb,1,3.6637070178985596,0.30284810066223145,1,1,1,0.03577569127082825
9,0,turn_on_lightbulb,2,3.2648377418518066,-0.08353781700134277,2,1,1,0.009667396545410156
9,0,turn_on_lightbulb,4,3.181884288787842,-0.550729513168335,4,2,0,-0.01832398772239685
10,0,turn_off_lightbulb,0,3.2478950023651123,0.031078815460205078,1,1,1,0.015597403049468994
10,0,turn_off_lightbulb,1,3.413684844970703,-0.31502842903137207,2,2,0,-0.021651357412338257
10,0,turn_off_lightbulb,2,3.269994020462036,0.2397761344909668,1,1,1,0.03255400061607361
10,0,turn_off_lightbulb,4,2.730187177658081,0.48181581497192383,1,1,1,0.08360892534255981
11,0,lift_red_block_table,0,4.222503185272217,-1.904477596282959,5,6,0,-0.7700239419937134
11,0,lift_red_block_table,1,4.311013698577881,-0.3586268424987793,2,1,1,0.025339782238006592
11,0,lift_red_block_table,2,3.0650835037231445,0.49697446823120117,1,1,1,0.17816521227359772
11,0,lift_red_block_table,4,3.1656386852264404,-0.2014024257659912,2,1,1,0.08323819935321808
12,0,lift_blue_block_slider,0,9.0226469039917,0.07395648956298828,1,2,0,-0.06546640396118164
12,0,lift_blue_block_slider,1,5.189509391784668,0.2161393165588379,1,2,0,-0.0696224570274353
12,0,lift_blue_block_slider,2,4.519725322723389,-0.09293842315673828,2,2,0,-0.09143465757369995
12,0,lift_blue_block_slider,4,4.4487504959106445,-0.17034482955932617,2,2,0,-0.13793376088142395
13,0,turn_off_lightbulb,0,5.310047626495361,0.2381143569946289,1,5,0,-0.149337038397789
13,0,turn_off_lightbulb,1,3.76277494430542,0.04720497131347656,1,2,0,-0.09662871062755585
13,0,turn_off_lightbulb,2,4.113039016723633,0.027208328247070312,1,2,0,-0.013991937041282654
13,0,turn_off_lightbulb,4,3.841571807861328,0.3829617500305176,1,3,0,-0.07839769124984741
14,0,lift_blue_block_slider,0,4.349857330322266,0.01750659942626953,1,4,0,-0.22238343954086304
14,0,lift_blue_block_slider,1,3.628416061401367,0.3755464553833008,1,3,0,-0.05793428421020508
14,0,lift_blue_block_slider,2,2.789102077484131,1.0446577072143555,1,1,1,0.15522770583629608
14,0,lift_blue_block_slider,4,3.448073625564575,-0.05851030349731445,2,1,1,0.06686705350875854
15,0,turn_on_lightbulb,0,5.285543441772461,-1.7024986743927002,6,4,0,-0.25789713859558105
15,0,turn_on_lightbulb,1,4.465858459472656,-0.3080000877380371,3,1,1,0.014080792665481567
15,0,turn_on_lightbulb,2,3.445274829864502,-0.3022644519805908,2,1,1,0.07028442621231079
15,0,turn_on_lightbulb,4,3.3678805828094482,-0.0950465202331543,2,4,0,-0.1105213314294815
16,0,push_pink_block_right,0,4.031003952026367,-0.18283891677856445,2,3,0,-0.03584454953670502
16,0,push_pink_block_right,1,3.9072928428649902,0.005274772644042969,1,5,0,-0.21754473447799683
16,0,push_pink_block_right,2,4.09684944152832,-0.5865199565887451,5,4,0,-0.09282517433166504
