kind,sample,session,source_goal,target_goal,horizon,cycle_full,cycle_semantic,cycle_execution,ground_truth_cycle_full,target_distance,execution_target_distance,target_rank,endpoint_error,decoded_action_mse,future_latent_mse,execution_knn_radius,local_pca_normal_distance,trajectory_jump
observed,49,8,push_pink_block_right,push_pink_block_right,4,2.7600178718566895,2.491234302520752,1.188044786453247,0.15677136182785034,3.3578524589538574,1.494002103805542,1,0,0.015470393002033234,0.4374123513698578,1.494002103805542,1.3082399368286133,0.21946126222610474
observed,50,8,lift_blue_block_slider,lift_blue_block_slider,4,3.1526520252227783,2.763401985168457,1.5175060033798218,0.5260857343673706,3.6052322387695312,2.7442755699157715,1,0,0.01345785241574049,0.38992732763290405,2.7442755699157715,1.8001444339752197,0.2562476396560669
observed,51,8,turn_off_lightbulb,turn_off_lightbulb,4,2.622880458831787,2.36429762840271,1.1356048583984375,0.7944705486297607,3.0657448768615723,1.7556861639022827,1,0,0.026236509904265404,0.8851651549339294,1.7556861639022827,1.7402018308639526,0.25629138946533203
observed,52,8,place_in_slider,place_in_slider,4,2.366680145263672,2.023803472518921,1.2269450426101685,0.7280247807502747,5.612460136413574,3.8678886890411377,6,1,0.06963267922401428,0.7898862361907959,3.8678886890411377,1.3549693822860718,0.2463521808385849
observed,53,8,lift_red_block_table,lift_red_block_table,4,3.1767892837524414,3.0569629669189453,0.8642717599868774,0.8075242638587952,3.802398204803467,2.8780226707458496,4,1,0.054803695529699326,0.5245681405067444,2.8780226707458496,1.603587031364441,0.1637253761291504
observed,54,8,place_in_slider,place_in_slider,4,1.9234123229980469,1.475452184677124,1.2339189052581787,1.5411415100097656,5.415735244750977,3.6269888877868652,6,1,0.0754014179110527,1.0045400857925415,3.6269888877868652,0.9358201026916504,0.19455036520957947
observed,55,8,lift_blue_block_slider,lift_blue_block_slider,4,1.935847520828247,1.505107045173645,1.2174392938613892,0.6393802762031555,2.898406982421875,2.2954037189483643,1,0,0.016567640006542206,0.27951663732528687,2.2954037189483643,0.6977068781852722,0.08138307929039001
observed,56,8,lift_red_block_table,lift_red_block_table,4,3.921654224395752,3.840857744216919,0.7919497489929199,0.5472524166107178,5.0011091232299805,2.6787402629852295,3,1,0.030132045969367027,1.7355990409851074,2.6787402629852295,1.1646097898483276,0.3573240339756012
observed,57,8,place_in_slider,place_in_slider,4,2.4245643615722656,2.2568390369415283,0.8861091136932373,1.306828498840332,3.8712971210479736,2.8702471256256104,1,0,0.030953019857406616,0.9592593908309937,2.8702471256256104,1.2989169359207153,0.22456078231334686
observed,58,8,lift_blue_block_slider,lift_blue_block_slider,4,4.032729625701904,3.8173811435699463,1.3001954555511475,0.4613683223724365,3.5225048065185547,2.7795486450195312,1,0,0.011722519062459469,0.6622000932693481,2.7795486450195312,1.411977767944336,0.3486306071281433
observed,59,8,turn_off_lightbulb,turn_off_lightbulb,4,2.5160257816314697,1.1795955896377563,2.22237229347229,0.48614466190338135,3.8810184001922607,3.296916961669922,2,1,0.02396094985306263,0.4523307681083679,3.296916961669922,1.9933220148086548,0.2653633654117584
